"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","3610"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""blog"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"xr.pro.br","expropriando quem realmente trabalha por meio de indecorosas taxas de juros. </s><s> O caso do comercial da Boticário","nos serviu para lembrar","do quanto ainda tem gente preocupada com a sexualidade alheia, o quanto a idéia de promover boicotes é estúpida e o tanto"
"xr.pro.br","tanto essas pessoas? </s><s> FARRELL: The Myth of Male Power incomoda a argumentação feminista sobre vítimas de poder e","nos pede para questionar","o mais forte dos instintos em ambos os sexos: o instinto de proteger as mulheres. </s><s> MACCHIETTO: Qual é a sua definição de """
"xr.pro.br","da humanidade. </s><s> Estes são nossos principais pontos, mas não todos. </s><s> Há desafios imensos pela frente, e precisamos","nos esforçar para superá-los",". </s><s> Se você tem interesse em fazer parte desse momento histórico, da construção de um Grande Brasil, seu lugar é em nossas"
"xr.pro.br","nunca Infinita! </s><s> Sendo assim considero extremamente lamentável que alguém ache que exista algum sentido num Deus que","nos pede para perdoar","indefinidamente (70 vezes 7), e ao mesmo tempo é infinitamente impiedoso. </s><s> Não só isso, não posso concordar também que"
"xr.pro.br","que sendo todas as criações humanas resultantes da dinâmica do universo, incluindo suas sociedades, deveríamos","nos esforçar para manter","o equilíbrio entre fatores Masculino e Feminino, embora infelizmente, não seja isso que tem acontecido há milhares de"
"xr.pro.br","estão nos ajudando!? </s><s> - Por favor confie em nós. - </s><s> Disse a moça. - Só queremos... Queremos salvar a Senhora Seilan. </s><s> Jerok","nos pediu para acordar","vocês. </s><s> Ele está entrando na nave agora. </s><s> Nos cercou com um bando de ZIGs que ele próprio fez e nos ajudou a render o líder. </s><s> O"
"xr.pro.br",", mas lhe convido a entrar no projeto mundo, www.projetomundo.cjb.net. </s><s> Neste fórum eu e uns amigos estamos","nos organizando para criar","um grupo de pessoas dispostas a analisar todos os temas que abrange a sociedade e criar uma ong ou partido político"
"xr.pro.br","a loucura dos... </s><s> ...outros pra minha vida. </s><s> É que nem Karma (ou Carma): cada um com o seu! </s><s> Se bem que tem gente com mania de","nos colocar para responder","pelos atos dos outros... Aliás! </s><s> Esse negócio também de vir ao mundo para pagar dívidas passadas, já tá pra lá de furado. </s><s> A"
"xr.pro.br","ficar me espionando enquanto estou na rua, tudo bem desde que eu também possa espionar você. </s><s> Se o seu chefe quiser ficar","te vigiando para saber","onde você está, que você então possa se defender pondendo vigiá-lo também, assim neutralizaria-se a quase totalidade"
"xr.pro.br","se torna cada vez mais impraticável. </s><s> Pois do ponto de vista biológico, o Proto-Ciúmes é um dos mecanismos que a natureza","nos equipou para competirmos","pela nossa perpetuação, mas as atitudes suscintadas por esse sentimento não tem um bom resultado num contexto"
"xr.pro.br",", ou abria muito pouco, o que dava uma impressão de um sorriso forçado. </s><s> Bem vestido e usando luvas, ele me cumprimentou e","nos sentamos para discutir","a questão. </s><s> - A questão... - Eu disse. - É que não consigo ver motivos razoáveis para esse veto Senhor Governador. </s><s> É uma"
"xr.pro.br","seus ciclos do tempo. </s><s> Talvez fosse essa a razão de sermos circunscritos a uma determinada faixa dele. </s><s> A oportunidade de","nos esforçarmos para fazer","as coisas certas no lento escoar dos anos aos quais estamos limitados. - - - - -O aparelho que jorrava água utilizava a"
"jus.com.br","que utilizamos na igreja no entanto a policia veio averiguar e pode perceber que o som não estava sendo abusivo apenas","nos alertaram para cuidar","com o volume porem este mesmo usa som altíssimo do seu carro e não </s><s> Na tarde da sexta feira, dia 22, foi realizado mais um"
"jus.com.br","batalha judicial uma liminar e uma decisão para nossa empresa e conseguiu cancelar o protesto. </s><s> Agora estamos","nos restabelecendo para conseguir","realizar o parcelamento ou participar de um PPD. </s><s> Segue abaixo a jurisprudência que ele usou: </s><s> DIREITO CONSTITUCIONAL E"
"jus.com.br","uma filha de treze anos , e desde os 3 anos dela, meu marido ( que não é o pai biólogico) cria ela. </s><s> E desde os 6 anos dela, ela","nos pede para tirar","o nome do pai biológico e colocar o do meu marido. </s><s> Leia e saiba como e porque é importante – Compreendendo o que é a"
"jus.com.br","o Cristo de amor jamais faria tal coisa! </s><s> Jesus morreu pelos nossas falhas, não pela nossa sexualidade. </s><s> Jesus","nos libertou para vivermos","uma nova vida de amor em Deus. </s><s> Tanto o amor heterossexual quanto o homossexual não são pecados por si só. </s><s> O ato sexual"
"jus.com.br","fulminado em razão da inexistência do elemento subjetivo. </s><s> Pena que muitos ignoram isso. </s><s> Destarte, é chegada a hora de","nos ombrearmos para impormos",", de fato, a nossa independência funcional e, para isso, não devemos admitir qualquer iniciativa de anular essa nossa"
"jus.com.br","de dois mundos, o das coisas e o das idéias. </s><s> Sob a ótica platônica, adjetivos como remuneratórios ou moratórios não","nos servem para dizer","o que é juros, assim como, belo ou feio, alto ou baixo, não cabem ao conceito do que é ser gordo, ou magro. </s><s> E afinal, o que vem"
"jus.com.br","escuro e da solidão; que, todos nós, sentimos medo pela simples falta dos meios (dinheiro, carinho, saúde, etc) de que","nos valemos para podermos","continuar a viver. </s><s> Esse medo produzido pela impressão do real ou suposto ""desamparo"" é, às vezes, completamente"
"jus.com.br",""" da presidente comete é o fato de que o arrependimento NÃO EXCLUI O CRIME, apenas MINORA a pena. </s><s> Portanto, por mais que","nos esforcemos para aceitar","mais este factoide gerado pela genialidade de sua equipe, o fato é que a pena da presidente não comporta redução e, por"
"jus.com.br","; mas que não massacram filhos separados ou netos que formam famílias sem casamentos (união estável). </s><s> No geral,","nos esforçamos para conservar","muitas coisas, conquistas, bem como para nos livrarmos de outros apegos empedernidos (típicos de preconceitos) e já"
"jus.com.br","[10]. </s><s> Nesse sentido, o professor José Afonso da Silva clarifica o sentido da hermenêutica contextual que bem","nos serve para demonstrar","o avanço do STF no julgamento do RE 328812 ED/AM em comento: </s><s> A hermenêutica contextual refere-se à exploração da"
"jus.com.br","de publicidade e transparência à gestão dos direitos autorais. </s><s> No momento em que nós do Ministério Público da União","nos preparamos para atuar","contra diversas instituições de ensino superior, por conta do número mínimo de mestres e doutores, eis que surge (das"
"jus.com.br",". </s><s> Tais requisitos são encontrados discriminados na própria legislação, de forma expressa, a exceção do item (a), que","nos serve para determinar","a pessoa do empresário. </s><s> Em outras palavras, equivaleria a separar o comerciário (mero trabalhador do comércio) do"
"igf.com.br","difícil de aceitar como verdade (investir na Bolsa é perfeito para todo mundo?) Antes de adicionar esta frase na lista,","nos esforçamos para pensar","em um produto ou serviço que fosse idealmente perfeito para todos. </s><s> O mais próximo que conseguimos chegar foi supor que"
"igf.com.br","de mais de 90%. ""É um pouco como o princípio da Disney: tentamos baixar as expectativas ao mesmo tempo em que","nos esforçamos para superá-las",""", diz Van Cotthem. </s><s> Para manter a saúde do relacionamento com seus clientes, Van Cotthem e equipe desenvolveram uma"
"jus.com.br","não foi feito de forma correta falta terra e eles passaram parte de uma SERVIDÃO em nosso lote fomos falar com eles,","nos disseram para procurar","o nosso direito e que não tem nada haver que eles fizeram o desmembramento pois sempre foi assim e vai continuar a ser e"
"igf.com.br","ter, porém podemos ter a certeza de que lutamos por algo que acreditamos. </s><s> Mesmo que venhamos a conhecer a derrota,","nos preparamos para ser","vencedores e não perdedores. </s><s> Nada é fácil. </s><s> Passamos por provas constantes em nossas vidas. </s><s> Temos mais ""pessoas"""
"igf.com.br","aceitável para um possível erro. </s><s> Quando resolvemos colocar a educação financeira em nossas vidas, temos que","nos preparar para seguir","um plano, uma estratégia – que, na medida do possível, precisa ser muito respeitada. </s><s> Claro, o consumo e os prêmios são"
"jus.com.br","meritórias de outros propósitos), e enfatiza o primado do certo sobre o bem. </s><s> O liberalismo deontológico de Kant","nos pede para considerar","que a humanidade é formada por indivíduos independentes e morais, capazes de orientar-se racionalmente ao longo das"
