"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","608"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""reference/encyclopedia"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"scielo.br","de corações nostálgicos aprisionados no interior de uma idéia fixa e a-histórica de universidade. </s><s> O problema com que","nos defrontamos para responder","a essa censura, que na verdade é uma acusação, provém de que a única maneira de mostrar o seu caráter infundado seria"
"scielo.br",", essencialmente, desorientação, o homem a busca, nem que para isso utilize de convicções alheias. </s><s> E por que havemos de","nos voltar para elucidar","o que a vida é? </s><s> Porque a Metafísica é algo que fazemos para clarear o fundamento e ""[...] a vida é algo anterior, anteposto"
"scielo.br","das políticas, não sei [...] a cada troca de lideranças, há novas diretrizes a serem cumpridas e que, muitas vezes,","nos dizem para cumprir","coisas que, aqui já fazemos faz tempo, mas com outro nome. [...] assim que, o chão da escola é bem outra coisa se comparado"
"scielo.br","dizer onde morava, não sabia dizer seu nome, nem se deslocar pela cidade com autonomia? </s><s> Como pudemos perdê-la? </s><s> Todos","nos mobilizamos para procurá-la",". </s><s> Usuários e funcionários fa-ziam grupos de busca pela cidade, distribuíam cartazes, telefonavam para hospitais..."
"scielo.br","fantástico! </s><s> É impressionante como estudamos as teorias nos livros, discutimos sobre elas com colegas e amigos, e","nos preparamos para aguçar","o olhar, para ler nas entrelinhas, para buscar relações simbólicas nos atos falhos, sem nunca nos darmos conta de que"
"scielo.br","é bem feito, mas se apegam a uns detalhezinhos para poder te diminuir a nota! (Berenice) </s><s> Agora ""lembra aquele dia que eu","te pedi para fazer","tal coisa?"", ou ""lembra daquele paciente?"", ou ""lembra daquele dia que tu foi cobrir?"" Ah, essas coisas, ninguém"
"scielo.br",", parece não finalizar, surgem novas ideias. </s><s> Pergunto-me: estamos adiando o fim? </s><s> Será um novo projeto? </s><s> Estamos","nos aprontando para irmos","embora? </s><s> Colamos os animais, cada paciente escolhe um lugar para o seu. </s><s> Reflito e falo para o grupo sobre a importância de"
"scielo.br","o trabalho em situação concreta, dando relevância às conexões entre sujeitos e processos laborais. </s><s> É essa direção que","nos interessa para pensar","o trabalho do pesquisador-cartógrafo: por um lado, tomar a pesquisa em situação, e, por outro, tomar a pesquisa como"
"scielo.br","de locais mais seguros, não estando, portanto, disponíveis para abordagens, como se apreende do trecho a seguir: </s><s>","Nos aproximamos para distribuir","insumos a quatro jovens que estão sentados em um degrau, ao lado de uma construção, na Rua Vitória. </s><s> Olham-nos"
"scielo.br","modo mais controverso, Gibson estendeu seu argumento do espaço interior de um cômodo para o ambiente de modo geral. </s><s> Ele","nos pede para imaginar","um ambiente aberto, um ""plano consistindo só na superfície da terra"" (Gibson, 1979, p. 33). </s><s> No caso-limite - ou seja, na"
"scielo.br","médica. </s><s> Após explicar os riscos e os testes a uma paciente de 35 anos, por exemplo, a médica pergunta: ""Quer que eu","te encaminhe para fazer","o teste triplo?"", obtendo como resposta ""se a senhora acha necessário ..."". </s><s> A médica explica novamente os riscos"
"scielo.br","cruciais. </s><s> Sua relevância se recorta tanto por nos remeter à fontes filosóficas de que se serviu Freud, como por","nos instrumentalizar para acompanharmos","os impasses teóricos que culminaram na ""ruptura"" da segunda tópica. </s><s> Também nos permite colocar estas aspas"
