"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","147"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""legal"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"stf.jus.br","para tratar da segurança pública. ""Essa reunião talvez seja a demonstração pública de que estamos todos juntos","nos esforçando para fazer","o melhor. </s><s> Tudo que a gente fizer será exatamente para dar cumprimento à Constituição Federal, que completa 30 anos"
"stf.jus.br","tenham tempo de planejar e incluir no orçamento as ações que vão auxiliar no cumprimento de tais objetivos. ""Neste ano,","nos organizamos para ajustar","o calendário a fim de que os tribunais conheçam suas metas e possam reservar recursos para projetos que os auxiliem a"
"almg.gov.br","Minas e Energia não atendia a todas as demandas de segurança para as barragens do Estado de Minas Gerais. </s><s> Foi por isso que","nos debruçamos para construir","um projeto que pudesse, com a melhor das intenções, atender às demandas do nosso Estado. </s><s> Não é um projeto do deputado"
"almg.gov.br",". </s><s> Vejo aqui o deputado João Leite. </s><s> Quando eu cheguei aqui, João Leite, na Assembleia, no meu primeiro mandato, V. Exa.","nos convidou para participar","daquele grande movimento pela Assembleia de Minas, que envolveu Minas Gerais toda, que é o Siga Vivo, que visava ao"
"almg.gov.br","mais aceitar que ela tenha o lucro e que o prejuízo fique com o Estado. </s><s> Também é muito importante, neste momento, que","nos unamos para garantir","a democracia. </s><s> Não a democracia burguesa, como até hoje sustentamos, mas uma democracia em que as mulheres, grupos"
"almg.gov.br","Ione fez um requerimento solicitando informação, e a Casa acabou recusando, e isso não faz sentido. </s><s> Precisamos","nos unir para cobrar","do governo federal a imediata aplicação da lei e da mudança do indexador da dívida pública. </s><s> O deputado João Leite (em"
"almg.gov.br","é o fermento dos fariseus! </s><s> Temos de ter cuidado com ele, pois os fariseus falam mas não fazem. </s><s> Devemos fazer tudo que eles","nos falam para fazermos",", mas as obras deles não podemos imitar. </s><s> V. Exa. me fez lembrar desse alerta de Jesus: ""Acautelai-vos do fermento da"
"almg.gov.br","logo, meu irmão. </s><s> Precisamos que você continue com essa voz firme em favor da fé e da liberdade, esse maior nome que Jesus","nos legou para pregar","o Evangelho, alcançar as vidas para Jesus. </s><s> Parabéns e até logo. </s><s> O deputado Vanderlei Miranda* – Obrigado, deputado"
"almg.gov.br",", advogados, engenheiros, professores. </s><s> É com muito orgulho, Deputado Sávio Souza Cruz, que enfrentamos aqui hoje e","nos abrimos para discutir",", respeitando, claro, os posicionamentos diferentes, as adversidades. </s><s> Precisamos seguir com o nosso país,"
"almg.gov.br",". </s><s> Aqui no Norte de Minas, no Jequitinhonha, de fato, a gente não tem nem um caso confirmado, mas, ao mesmo tempo, estamos","nos preparando para enfrentar","esse período. </s><s> E é por isso que nós estamos falando que, além de ter toda a estrutura de toda essa articulação de liberação"
"almg.gov.br","mesmo. </s><s> Não temos a quem recorrer. </s><s> Não somos ouvidos. </s><s> Quando telefonamos para a Secretaria de Estado de Educação, eles","nos dizem para aguardar",", porque o Estado está em crise e que por isso não podem dar uma previsão. </s><s> Atualmente tenho quatro notas fiscais que já"
"almg.gov.br","isso, porque, mesmo com a Casa fechada, com esse sitiamento, continuam ações obscuras caminhando nesta Casa. </s><s> Estamos","nos preparando para responder","a isso, juntamente com os movimentos sociais, juntamente com as promotoras do patrimônio, e o Ministério Público"
"almg.gov.br","contra o tráfico de pessoas."" Eu ligo, e ela está em Brasília. </s><s> Eu ligo, e ela diz: ""Betinho, estou na sua frente. </s><s> Estamos","nos reunindo para preparar","um debate"". </s><s> Nesta tarde, estou honrando a Flávia, que é do Estado. </s><s> Ela é do Programa de Enfrentamento ao Tráfico de"
"almg.gov.br","em que o Estado é corresponsável pela omissão ou pela lentidão. </s><s> O fato é que assumimos essa função em abril e estamos","nos esforçando para atender","a sociedade com a maior brevidade possível. </s><s> Mas precisamos - e aí foi dito também - recompor a força de trabalho. </s>"
"almg.gov.br","interesse da população mineira, daqueles que menos têm, daqueles que colocaram lá o senhor, governador, daqueles que","nos elegeram para defendê-los",". </s><s> É preciso que eles estejam em primeiro lugar. </s><s> Muitas vezes, vemos que o partido da oposição não prima pela qualidade,"
"almg.gov.br","se organizou para votar. </s><s> Essa referência dos Estados Unidos também chegou aqui, no Brasil. </s><s> Estamos, cada vez mais,","nos preparando para ocupar","esse lugar hegemonicamente ocupado por homens brancos, herdeiros, herdeiros no sobrenome, herdeiros na política. </s>"
"almg.gov.br","uma solenidade oficial da Câmara Municipal de Uberaba e fomos surpreendidos, por volta das 22 horas, quando a imprensa","nos procurou para saber","a respeito da votação da Assembleia Legislativa, pois, se estávamos ausentes, como o nosso nome havia aparecido no"
"almg.gov.br","ensino médio, quando atendemos 100% da demanda no ensino médio, da demanda que havia concluído o ensino fundamental, e","nos preparamos para atender","100% a cada ano. </s><s> Como se pode, em nome de diagnósticos, falar de realidades objetivas sem ter o mínimo domínio do ""status"
"almg.gov.br","ficar achando que Minas é rebelde, que as pessoas daqui não tratam bem as de fora. </s><s> É como aquela situação em que uma pessoa","te chama para tomar","um cafezinho e fica te xingando, falando mal dos seus parentes, da sua família. </s><s> Não tem jeito. </s><s> É preciso acabar com as"
"almg.gov.br",", presidente da AMM. </s><s> Nós, Julvan Lacerda, liderados pelos deputados Gustavo Corrêa e Gustavo Valadares, estamos","nos colocando para votar","""não"" a essa emenda esdrúxula, que prejudica não só os municípios, não só os prefeitos, mas, sobretudo, a população"
