"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","231"
"query","Query:[tag=""V.*""][lemma=""para""][lemma=""nós|tu|vós|vocês|eles|elas""][tag=""V.N.*""] within <doc (genre=""news"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"pt.org.br","a militância. ""Nós estamos aqui e Lula é o nosso candidato a Presidente da República. </s><s> Somos milhões de Lulas, como ele","pediu para nós sermos",". </s><s> Quando saímos do sindicato dos metalúrgicos, aonde nascemos, Lula nos disse: ''cada um de vocês vai ser eu, vou pensar"
"pt.org.br","do Sul: uma pessoa, com uma machadinha, adentrou uma escola e, por sorte, não aconteceu uma tragédia maior. </s><s> Então, não","dá para nós ficarmos","estimulando, facilitando que o porte de arma ocorra de qualquer maneira"", afirmou ele, sobre o projeto que segue para"
"pt.org.br","do PT, das mulheres do novo Diretório Nacional, além das senadoras, deputadas federais e estaduais do PT. </s><s> ""A reunião","servirá para nós conversarmos","sobre o futuro do PT e das mulheres do partido, tendo agora uma mulher à frente do PT. Vamos trocar idéias para avançarmos"
"ufo.com.br","de vocês e sabemos da simpatia daqueles que testemunham a nossa missão. </s><s> Queríamos que vocês soubessem a ajuda que isso","representa para nós ter","avenidas luminosas que nos permitam atingir as regiões mais sombrias, onde se deve fiscalizar tanto trabalho. </s>"
"uai.com.br","""projeto de casal"" – a sócia, majoritária, é a esposa, Bia Corrêa do Lago. ""Estamos editando livros que gostaríamos que","existissem para nós comprarmos",""", brinca. </s><s> Áreas a se desbravar são, na opinião dele, a fotografia e a pintura do século 19. </s><s> O próximo trabalho vai ser"
"cimm.com.br","com fornecedores locais ao passo em que a cadeia for se desenvolvendo. ""Quanto mais madura for a cadeia, mais fácil","será para nós terceirizar","."" </s><s> Com 8 desfalques, jogando fora de casa e ainda saindo tomando um gol no início. </s><s> O Botafogo comprovou mais uma vez sua"
"uipi.com.br",", em Volta Redonda (RJ). </s><s> – Um clássico é sempre especial, mas vale três pontos tanto quanto os outros oito jogos que ainda","faltarão para nós disputarmos","depois dele. </s><s> É claro que na questão psicológica é um diferente. </s><s> Tem a história do Fla-Flu. </s><s> Espero que seja uma grande"
"mises.org.br","deles honesta e eleição não passa de um circo de palhaçadas e nós os inocentes úteis deste sistema perverso. </s><s> A bíblia","diz para nós abençoarmos","as autoridades e odiarmos os pecados cometidos por elas ou seja nós devemos abençoar todos os políticos enquanto seres"
"mises.org.br","com revólver de brinquedo em vez de ler poemas e conversar com plantas. </s><s> Tudo isso é culpa de vocês, seus canalhas! </s><s>","Era para nós cuidarmos","da alma daquele policial, mas ele foi tão vítima quanto Marielle: Ele foi vítima da religião, ele foi vítima da indução"
"mises.org.br","do discurso de ódio; ele decidiu brincar com revólver de brinquedo em vez de ler poemas e conversar com plantas. [...]","Era para nós cuidarmos","da alma daquele policial, mas ele foi tão vítima quanto Marielle: Ele foi vítima da religião, ele foi vítima da indução"
"mises.org.br","iremos demorar um pouco antes de pedirmos outra rodada. </s><s> Algumas pessoas que estão sentadas às mesas ao lado começam a","direcionar para nós olhares","complacentes quando um de nossos interlocutores, espumando pela boca, grita que eu estou agindo de má fé e afirma que"
"mises.org.br",", ela não poderia ir sozinha para a serra e deixar que os outros três fossem para a praia – afinal, ""deu praia"" na eleição. </s><s> E","era para nós acharmos","o vídeo sublime! </s><s> Adaptando o vídeo para as eleições atuais, imaginem que o destino da viagem fosse escolhido por uma"
"lance.com.br",". </s><s> A ida ou não à Libertadores afeta nesse orçamento, nesse planejamento? </s><s> Afeta, é muito importante. </s><s> A ida é o que","falta para nós sentarmos","e decidirmos fazer certas ações. </s><s> Não indo à Libertadores você tem Campeonato Paulista, algumas cotas, mas bilheteria"
"lance.com.br","esse longo feitiço com resultados insatisfatórios. </s><s> O que precisamos agora é um resultado positivo, o mais importante","é para nós voltar","ao caminho das vitórias. </s><s> RB LEIPZIG VISITA O HOFFENHEIM </s><s> De olho em um tropeço do Bayern, o vice-líder RB Leipzig encara o"
"pedal.com.br","o guiné fala. </s><s> olha vai chegar ums adesivos muito loucos de bike principalmente extreme loucos mesmo, quando chegar ti","ligo para tu ir","pegar lá em casa, ok ? </s><s> eu comecei com 1 caloi aspem com suspa gts m3 adptada, um lixo, mas foi com ela que comecei na carreira"
"lance.com.br","de ter admitido que estava de saída, desta vez mudou o tom e falou como se fizesse parte do elenco para 2016/17. </s><s> - Ainda","dói para nós estarmos","nesta situação depois de termos sido campeões na temporada passada. </s><s> Não estivemos aqui hoje para derrotar o Tottenham"
"lance.com.br","campeões na temporada passada. </s><s> Não estivemos aqui hoje para derrotar o Tottenham e impedí-los de levarem o título,","dói para nós fazermos","isso para o Leicester. </s><s> Mas estaremos de volta no ano que vem - concluiu Terry. </s><s> No duelo que marcou o reencontro de Luis"
"lance.com.br","si para conquistar o torneio. </s><s> - O resultado foi perfeito para nós. </s><s> Reforça a situação, o momento atual, e é maravilhoso. </s><s>","Resta para nós confirmar","isso nas rodadas que restam, que serão as mais importantes - disse Luis Enrique em entrevista coletiva: </s><s> - O que mais"
"dgabc.com.br","os ""esquerdistas"" a saírem do imobilismo. ""Estou de novo na trincheira da luta. </s><s> Agora não é mais do Lula livre. </s><s> Agora","é para nós voltarmos","e retomarmos o governo do Brasil. </s><s> Nós somos petistas, de esquerda e socialistas"", convocou. </s><s> Os discursos animaram a"
"terra.com.br","sendo feito por nós pode ter certeza que é o mais certo possível, pensando não só sábado, mas no futuro do Santos. </s><s> Quanto","vale para nós termos","21 aqui e 17 serem da base? </s><s> Terminar o jogo com quase todos da base jogando, pegando corpo no Mineirão contra o Galo"
"dgabc.com.br","campo não fizessem o mesmo em torno de um único projeto. ""Nós já fizemos o gesto. </s><s> Se eu não for candidata, os outros três se","entendem para nós estarmos","unidos? </s><s> A unidade da esquerda representa isto: nós estaremos todos unidos em uma única candidatura? </s><s> Os outros três têm"
"terra.com.br","na Série A. Tenho certeza que o Marcão irá mostrar mais uma vez que tem competência para estar onde ele está. </s><s> O que","falta para nós vencermos","é caprichar nas definições das nossas jogadas, sermos mais verticais, mais agressivos - avaliou. </s><s> Criado pelo"
"dgabc.com.br","Palhavam disse que a equipe está preparada para tudo. ""É briga direta pelo G-4. </s><s> Essa oscilação na escalação do Santos","dificulta para nós sabermos","qual será a postura deles, mas vamos tomar cuidado, esperar uns minutos para ver definição em campo e depois impor nosso"
