"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","20"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""pra""][tag=""V.N.*""] within <doc (genre=""reference/encyclopedia"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"scielo.br",", não passando pela ESF. </s><s> Os pais vão logo diretamente procurar onde se tem os especialistas. </s><s> Algumas pessoas","nos procuram pra saber","onde tem essa referência e vão atrás [...] porque infelizmente a gente sabe que a especialidade através do posto demora"
"scielo.br","me diz pra esperar voltar pra casa. </s><s> Tem gente que caiu na Coopavel ou ficou doente e não conseguiu mais trabalhar. </s><s> Eles","nos forçam pra trabalhar",". </s><s> A gente cai no chão, e não levam pro hospital. (Pérez). </s><s> Em pesquisa realizada em frigoríficos da região Oeste do Paraná"
"scielo.br","ineficiente, totalmente ineficiente. </s><s> Os colegas vão reclamar, o cliente vai reclamar, vão até te tirar do guichê, vão","te colocar pra fazer","outro serviço, porque você é mala sem alça..."" (Caixa 1). </s><s> O risco é assumido individualmente, embora seja uma"
"scielo.br","fazer isso também"" (grupo masculino, escola pública). </s><s> ""Você não quer fazer uma parada e ele vai lá e te obriga a fazer ou","te bate pra conseguir","isso. </s><s> E falar não e a pessoa continuar fazendo aquilo. </s><s> Eu acho que já é uma violência"" (grupo feminino, escola privada). </s>"
"scielo.br","refere ao aprendizado por meio da conversa e do esclarecimento de dúvidas como evidenciado nos discursos: </s><s> Foi bom ter","nos trazido pra conhecer","esse local que o bebê nasce [...] Fiquei mais aliviada porque vi que mesmo a minha gravidez sendo complicada eu posso ter"
"scielo.br","na Universidade? </s><s> L: É, eles são bem receptivos, eles me cumprimentam, dão oi, dão bom dia... </s><s> P: Os teus colegas? </s><s> E eles","te chamam pra fazer","trabalho juntos? </s><s> L: É, eu tenho que... eu... </s><s> P: Você que se coloca nos grupos? </s><s> L: Sim, às vezes eu me coloco nos grupos, mas"
"scielo.br","da criação dos filhos e de tudo que envolve sua família. </s><s> Olhe, eu já falei pra esse que vivi comigo agora, se tu não","te ajeitar pra ir","fazendo as iscuisa em casa, parece que até o fim do ano tu vai ganhá carta branca. </s><s> Ele vai tê que pedí perdão pra mulhé dele e"
"scielo.br","é anunciado pela integração das PICS no SUS, conforme registrou um ator estratégico: </s><s> Então a gente se juntou, né? </s><s> Vamos","nos unir pra chamar","essa empreitada de fazer uma política e convencer da necessidade e também se baseando, claro, nas Conferências"
"scielo.br","e sobre o ato de roubar, ele afirma que roubou porque quis mesmo, afinal ""ninguém rouba por causa dos outros: se os outros","te chamarem pra roubar","e você não quiser ir, você não vai"". </s><s> A mudança no discurso de Caio sugere uma tentativa de desvencilhar o pai e o passado"
"scielo.br","preciso ajudar, que ele pagava tudo. </s><s> E eu sem trabalho, sem documento, sem nada [...] então, chegou um rapaz e disse ""eu","te levo pra trabalhar","comigo, se você quiser"". </s><s> E naquela época não te contratavam em lugar nenhum, e menos ainda sem conhecimento, eu venho da"
"scielo.br","nos dias em que estava de folga. </s><s> Eis as suas palavras: </s><s> Tu está bem tranquila, já trabalhou umas cinco horas, mal comeu, aí","te chamam pra voltar","a trabalhar. </s><s> Isso revolta qualquer um, mas o pior de tudo é ser chamada num dia de folga para trabalhar. </s><s> Tu espera sete"
"vitruvius.com.br","Fernando? </s><s> Fernando da onde?"", pergunto. ""Fernando Haddad"" responde a voz e emenda: ""você não pediu uma reunião? </s><s> Estou","te ligando pra saber","pra quando marcamos"". </s><s> Essa era a forma direta com que o Prefeito Haddad atendia as pessoas, sempre curioso, paciente e"
"vitruvius.com.br","abril deste ano, recebi um e-mail da Lúcia Koch, que conheci pessoalmente em 2014 no Rio através do Pedro Rivera. </s><s> Queria","te convidar pra vir","ao meu estúdio tomar um chá, te mostrar alguns trabalhos em processo e te convidar pra uma colaboração. </s><s> Te explico tudo"
"vitruvius.com.br","Ocupação 9 de Julho Foto Abilio Guerra </s><s> Bloco 01. </s><s> Travessias e movimentos </s><s> Eliane Caffé: Qual foi o momento decisivo que","te impulsionou pra mudar-se","pra São Paulo? </s><s> Gegê: Gostaria de saber o que foi que a levou a vir fazer a luta na região central, isso porque por um longo"
"vitruvius.com.br",", num dever cívico ""estratégico"" (40); ""sejas tu um peixe fora-d''água, muçum de vala ou caranguejo do mangue poluído","te convido pra somar","conosco nesta luta: Libertar a orla de Belém para o bem estar de seu povo"" (41). </s><s> A relação social e a atribuição de"
"vdocuments.com.br","de casados ela um elo de ligao entre eu e os meninos, nos momentos de nervoso sempre ela estava por perto chamando a ateno e","nos colocando pra pensar",". </s><s> Adoro falar da pessoa dela, muito bom. </s><s> Comenta Ado Marinho. </s><s> O Papa Bento XVI props o Ano da F, que teve incio em 11 de"
"vdocuments.com.br","beleza com cuidado, mira bem e diz-me sinceramente se tu conheces algum mais bonito do que eu. </s><s> DIABO Beldroega, que","te deu pra virares","casamenteira? </s><s> BELDROEGA Umas nsias, uma canseira </s><s> comicho pelo corpo todo... No sei se estou embruxada, ou se estou"
"vdocuments.com.br","luz, Quanta luz. </s><s> JOS GROSSO(Melodia: Tristeza do Jeca) Esta histria to singela De um amigo e protetor Que do cu Deus","nos Envia Pra curar","a nossa dor Ele bom e carinhoso Ajuda sempre fervoroso Pede ao Pai Por seus irmos Jos Grosso a estrela a iluminar Que nos"
