"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","396"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""pra""][tag=""V.N.*""] within <doc (genre=""news"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"pt.org.br","sociedade, e não apenas por autoridades. </s><s> No dia seguinte, Dallagnol fez uma proposta à procuradora. ""Se Vc topar, vou","te pedir pra ser","laranja em outra coisa que estou articulando kkkk"". </s><s> Danelon assentiu, animada, e o chefe da Lava Jato continuou. ""Um"
"pt.org.br",", dos trabalhadores"", disse. </s><s> Segundo ela, o PT e a esquerda tem gastado muita energia para se defender, ""e pouca energia","nos resta pra seguir","em frente"". </s><s> ""É preciso seguir em frente, multiplicar essa energia. </s><s> E o papel da juventude é mexer nas estruturas e não"
"pt.org.br","precisa. ""Quando a gente se viu nessa situação de ter de ficar todo mundo em casa, sem ter condição pra isso, resolvemos","nos juntar pra poder","de alguma forma oferecer algum caminho de amparo pra essas pessoas. </s><s> Temos feito materiais de divulgação para as"
"pt.org.br","fosse criado um segundo abaixo-assinado assinado pela sociedade e não só por procuradores e juízes. </s><s> ""Se Vc topar, vou","te pedir pra ser","laranja em outra coisa que estou articulando kkkk"", escreveu Deltan que recebeu o sinal positivo por parte de Thaméa. """
"gaz.com.br",", não precisa acordar cedo. </s><s> A senhora não tem os serviços como tinha lá na roça. </s><s> Fica na cama mais um pouco e depois eu","te chamo pra tomar","chimarrão comigo"". </s><s> De nada adianta Loreci repetir esse discurso todas as manhãs. </s><s> Maria Aldina, corajosa e cheia de"
"uol.com.br","and Paul - todas especializadas em hambúrguer - para testar seu sanduíche predileto . ""Essa é a matéria mais legal que já","nos convidaram pra fazer","!"", diz animado, antes da primeira visita. </s><s> O Restart, que atingiu nos últimos dias a marca de 50_mil CDs vendidos e se"
"uai.com.br","e disse que, em anos de profissão, não se preparou para ouvir relatos como o da mãe. ""23 anos de carreira, 21 de Globo, não","nos preparam pra ouvir","o depoimento cheio de dor de uma mãe que perdeu a filhinha querida. </s><s> Chorei porque sofro junto com esta mãe. </s><s> Me coloco no"
"uai.com.br","vai!''''. </s><s> ''''Isso é vida!'''', comentou a jornalista Guiliana Morrone, de Brasília. </s><s> E então, Chico Pinheiro propôs: ''''Vou","te tirar pra dançar",", pode deixar''''. </s><s> O ator Matthew McConaughey (''Interestelar'') pode ser o vilão do novo filme do Homem-Aranha. </s><s> Segundo"
"uai.com.br","não existe a terra prometida senão em nós, e por que ela está cercada de continentes barrentos e istmos movediços, - eu ia","te levar pra passear","nos bosques que o meu imaginário esculpe, eu ia te ensinar a podar os ramos mais altos das árvores, porque se é preciso"
"uai.com.br","ser mãe solteira. </s><s> A filha dela nos procurou, nos mandou os prints e isso gerou uma repercussão enorme, várias pessoas","nos procuraram pra oferecer","ajuda desde advogados a pessoas querendo oferecer um emprego a ela, nós estamos tentando entrar em contato com a filha,"
