"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","145"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""blog"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"apagina.pt","regras mundialmente estabelecidas será a nova teoria da acção comunicativa. </s><s> O que temos de saber daqui em diante é o que","nos sugerem para consumir","sem cuidar sequer do conteúdo do que nos pedem. </s><s> Por exemplo, em educação, no primeiro dia de aulas o professor diz: na"
"apagina.pt","foram nada satisfatórios. </s><s> Pode dizer-se que obtivemos algumas e pequenas melhorias em instituições - para as quais","nos oferecemos para fazer","formação em regime de voluntariado. </s><s> Todavia, julgo que a principal vitória foi o facto de a Tutoria do Porto ter acabado"
"apagina.pt","na Universidade da Califórnia) Technology and Social Inclusion: Rethinking the Digital Divide (2003) em que","nos baseamos para organizar","estas notas. </s><s> Para mim a elaboração destas notas reponde à necessidade de construir referências e instrumentos"
"tv7dias.pt","que se manifestaram. </s><s> ""O que seria de nós sem este domingo sem sol? </s><s> Não sei! </s><s> Na realidade só estou a fazer conversa para","vos dizer para irem","votar!"", escreveu Ana Guiomar. ""Agarrei a primeira coisa que tinha no armário para ir votar (ide ide!"", partilhou Inês"
"apagina.pt","os problemas de seu cotidiano. </s><s> A situação que trago se refere a uma das inúmeras regras de convivência - mecanismo de que","nos valemos para pacificar","os incontroláveis ?meninos e meninas de rua?, nossos alunos e alunas, que optam pela sobrevivência nas ruas, o que os/"
"apagina.pt","no quadro. </s><s> Finalmente, depois de toda a turma ter chegado a acordo sobre as diversas emoções e as estratégias a que todos","nos socorremos para expressar","emoções, o dinamizador pode levantar a questão inversa: as estátuas eram todas iguais ou todas diferentes? </s><s> Claro que"
"tv7dias.pt","destaca: ""Isto é curioso, pois havia uma outra editora que tinha tido a mesma ideia. </s><s> Nós somos apenas uns artistas que","nos pagam para aparecer",", apesar de sermos uma parte de uma grande engrenagem que são os Ena Pá 2000. </s><s> Estamos sim, a pensar em editar uma caixa, em"
"tv7dias.pt","todos que nos têm questionado pelas redes sociais e por todos os meios que eu e o Igor não estamos juntos como casal mas que","nos preparamos para ser","pais de uma menina linda que já nos enche de alegria"", revelou. </s><s> E se Igor foi o personal trainer eleito por Sofia Ribeiro"
"apagina.pt","sem êxito nos anos 80. </s><s> E o que mais repugna é o espectáculo da ignorância e o gáudio do populismo. </s><s> Teremos de","nos mobilizar para contrariar","esta contrarreforma ideológica, avançando com outras visões e práticas disponíveis. </s><s> Tamancos confortáveis marca"
"tv7dias.pt","Tenho de ser eu''. </s><s> Aquilo ficou muito bem esclarecido: ''Então, se houver uma vitória, vêm uns seguranças buscar-te. </s><s> Não","te preocupes para passar",", que eles até te podem levar ao colo, mas tu tens de lá estar''. </s><s> Eu dizia: ''Ó Galopim, o que é isto? </s><s> Que conversa é esta?'' N.G."
"apagina.pt",". </s><s> Exemplos disso são os estágios requeridos por algumas universidades e as visitas de diversas instituições que","nos procuram para aprender","algo connosco. </s><s> Nunca como até agora se falou tanto da terapia pela arte, e isso é muito positivo. </s><s> O objectivo do espaço T"
"apagina.pt","de encarar o direito à diferença: uma é o direito individual, entendido como o espaço de liberdade que a sociedade","nos confere para podermos","exercer as nossas escolhas; outra é o direito à diferença por pertença a uma comunidade, que contraria este na medida em"
"apagina.pt","para Lisboa caso queira viver a ""festa da Taça"". ""Perde a cidade e o futebol não-profissional"", remata. </s><s> Semanalmente","nos reunimos para tratarmos","de assuntos diversos relacionados à escola e foi em uma dessas reuniões que a professora desabafou: </s><s> – Aquela menina é"
"apagina.pt","aconteceu este ano. </s><s> Portanto, ser investigador em Portugal é assim: somos tratados quase como privilegiados, porque","nos pagam para estudar",", mas na verdade não temos quase direitos nenhuns, porque temos uma bolsa. </s><s> As pessoas que querem assentar para fazer"
"apagina.pt","opor a esta absolvição e pagamento do crime? </s><s> Será que somos capazes de nos libertar do jugo a que temos andado atados e de","nos mobilizar para obrigar","a reinventar o Estado Social? ""Tudo o que não avança cai"", diz a parábola da bicicleta. </s><s> A ideia de socialismo (nenhum do"
"apagina.pt","É hora de festejos e de preparativos. </s><s> É hora de pedirmos aos tambores que continuem dando compasso à nossa marcha. </s><s> Não","nos peçam para entoar","um réquiem deprimente, quando o que queremos é multiplicar os sons de uma interminável canção de luta. </s><s> Não nos peçam"
"apagina.pt","ritmo do rap. </s><s> Não nos peçam seriedade, quando o que queremos é nos somar à caravana de um pagode libertino e sensual. </s><s> Não","nos peçam para entoar","a marcha triunfal, quando nos conformamos com uma doce canção de ninar. </s><s> Eu, devo confessar, estou à flor da pele. </s><s> Com uma"
