"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","15"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""reference/encyclopedia"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"arqnet.pt",", é geralmente considerado, em influência e capacidade, como um dos primeiros monarcas da Europa. </s><s> Tudo isto","nos prepara para desempenharmos",", chegada a Renascença, um papel glorioso e preponderante. </s><s> Desempenhámo-lo, com efeito, brilhante e ruidoso: os"
"arqnet.pt","na campanha rasa. </s><s> E tem tão pouca notícia da arte militar que, tendo carros para cobrir os flancos e a retaguarda,","nos deixam para investir","desembaraçado o corno esquerdo. </s><s> Esta desatenção que observo me obriga a levar em uma só linha todo o exército porque com"
"arqnet.pt","da sua obra, mantendo as nossas mãos na sua vontade, nos dirija e nos receba com glória; Ele mesmo governe quem","nos governa para podermos","[ensinar] o seu rebanho com disciplina e não com os instrumentos de um pastor desorientado. </s><s> Seja Ele a dar valor e"
"arqnet.pt","<s> Outros sondavam o terreno recentemente mexido com paus, e assim se encontraram tantas provisões, que no Natal, quando","nos sentámos para jantar","numa grande palhota, sentimo-nos aliviados da falta de alimentos. </s><s> Segundo a descrição dos nossos soldados, o rio"
"mec.pt","entre ser apreciado e independente. </s><s> No entanto, o jogo cooperativo é de suma importância nos MMORPG, pelo que temos de","nos retirar para melhorar","a experiência do jogo e as hipóteses de êxito. </s><s> De modo a executar estes atos de equilíbrio, os jogadores necessitam de"
"mec.pt","de setecentos_milhões de falantes, serviria para exorcizar os medos de Portugal e Espanha, valorizando o muito que","nos une para fazermos","frente a uma União Europeia onde a solidariedade cultural é frágil. </s><s> O pensamento visionário de Natália faz jus à mulher"
"mec.pt","de justiça e os comportamentos de cidadania organizacional, novo questionário foi elaborado. </s><s> A amostra de que","nos socorremos para testá-lo","continha 282 colaboradores organizacionais, oriundos de 37 organizações (dispersas por vários pontos do país),"
"mec.pt","no caso dos sítios dos sindicatos filiados na CGSI ou na USI. </s><s> De notar, de qualquer modo, que as percentagens aqui","nos servem para facilitar","a comparação, não sendo estatisticamente adequado usá-las, pois as bases em causa são extremamente baixas. </s><s> Com"
"mec.pt",". </s><s> E a família vai ajudar porque acaba sempre por ser o nosso porto de abrigo quando as coisas não correm bem e é onde","nos refugiamos para tentar","resolver os nossos problemas. (Entrevista, Vera, 19 anos) </s><s> - Situação económica: não passar por dificuldades"
"mec.pt","ético sobre os sujeitos e/ou grupos aos quais direcionamos prioritariamente as nossas práticas. </s><s> De quais critérios","nos valemos para eleger","determinados indivíduos ou famílias como principais beneficiados desta estratégia? </s><s> E, ao fazermos esta eleição,"
"mec.pt","que as dificuldades da vida servem para aprendermos e nos tornarmos pessoas mais fortes, esses momentos difíceis","nos instrumentalizam para enfrentarmos","adequadamente, sem sucumbir ao desespero ou ao desenvolvimento de sintomas psíquicos ou psicossomáticos. </s><s> Ao invés"
"mec.pt",", estas evoluções do software Kronos - posteriormente Actogram Kronos -, em estreita ligação com os problemas com que","nos deparávamos para dar","conta da atividade das mulheres e dos homens no trabalho, estavam completamente associadas a discussões, e mesmo a"
"mec.pt","relativamente fácil, exigiam muito trabalho e, sobretudo, muito tempo. </s><s> Operações tão elementares como as que se","nos impunham para dar","conta dos movimentos migratórios com incidência nacional, regional e local, colocavam-nos grandes dificuldades. </s>"
"mec.pt","de enunciação que opõem o masculino e o feminino nas grandes máquinas duais. </s><s> A questão é primeiro a do corpo - o corpo que","nos roubam para fabricar","organismos oponíveis. (Deleuze & Guattari, 2008, p. 69) </s><s> É interessante salientar que estamos ao mesmo tempo a falar de"
"mec.pt","foram sendo formados mundo afora[4]. </s><s> Rede Ma(g)dalena Internacional: </s><s> Nos primeiros Laboratórios Madalena","nos reunimos para investigar","se seria mais fácil falar de nossos silêncios estando entre mulheres. </s><s> Nesse ambiente, nossas vozes soaram melhor. </s>"
