"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","17"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""legal"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"dgsi.pt","Ferrão de Carvalho Martens, mais conhecido por Martens Ferrão, no seu célebre relatório de 31 de Maio de 1871, do qual","nos socorremos para compilar","estas notas: É de vindicar para Portugal a organização do Ministério Público nascido das próprias tradições do País e"
"dgsi.pt","arrecadações, garagem e das várias deficiências de acabamentos nas partes comuns, pedimos mais uma vez ao Sr. DD que","nos comunique para marcarmos","uma data prevista para começar com estas reparações"" (facto que apesar de não constar do despacho de condensação é"
"dgsi.pt","colega ter falado com o senhor N, ou o Sr. N com qualquer colega ou dos jovens? (AI) – Nada....nada. (Dr. JJS) – E quem é que","vos disse para ir","para a sala? </s><s> Isto, os dois exemplos que antecedem, são situações que não são únicas, de o assistente ser re-perguntado e"
"dgsi.pt","Pensavas que ninguém sabia que gostas bastante de foder Pensas que és grande merda E não fazes topless Os rapazes só","te procuram para aliviar","o stress És muito desenrascada Na Banda tocas tu Mas no teu peugeot Só queres levar nesse cú És tu menina A Que pareces uma"
"dgsi.pt","da Faculdade de Direito de Lisboa, (cfr. ''Estudos Sobre o Novo Processo Civil'', Edição ""LEX"", pg. 482-3), de cuja lição","nos servimos para ilustrar","o entendimento que preconizamos. </s><s> Com as suas autorizadas palavras diremos pois que ''No caso de cumulação simples,"
"dgsi.pt","que o mesmo não será aqui apreciado enquanto fundamento da decretada cessação. </s><s> Vejamos, então, o único fundamento que","nos resta para suportar","a declaração de cessação antecipada do procedimento de exoneração do passivo restante: a violação da obrigação de"
"dgsi.pt","aliás nada o fazia prever, se virou para a Senhora Procuradora Adjunta e depois para nós que presidiamos à diligência e","nos disse para irmos","dizer ao avô que não queria que ele a beijasse na boca, lhe apalpasse as mamas, lhe visse a ""pita"", lhe mostrasse a ""piroca"
"dgsi.pt","nos artigos 684.o, 2 e 3 e 690.o, 1, 2 e 4 do Código de Processo Civil, teremos de concluir que são as seguintes questões que","nos ficam para apreciar","aqui e agora: i)nulidade da sentença por violação do art. 668.o, 1, c) e d) do Código de Processo Civil; ii) anulação de"
"dgsi.pt","das seguintes formas (...)./ Após as amortizações propostas na S/carta - final de Junho e Julho/2018 - agradecemos que","nos contacte para analisarmos","a possibilidade de regularização, indicando o valor que poderá assegurar com um carácter mensal e sucessivo. (...)"". </s>"
"am-lisboa.pt","fontes, fontanários e chafarizes da cidade, colocando estas preciosidades históricas que o nosso património ainda","nos tem para oferecer","ao serviço da cidade e dos lisboetas. </s><s> Segunda a Quarta Após 21h </s><s> Detalhes de anúncio </s><s> Descrição </s><s> Não sou profissional do"
"am-lisboa.pt","mostram que a nossa estratégia está claramente a dar frutos e que o mundo olha para Portugal como um exemplo, e também","nos motivam para continuarmos","o trabalho de qualificação da oferta e dos destinos, alargando o turismo a todo o território e ao longo de todo o ano,"
"am-lisboa.pt","democratas activos, as comissões de base da CDE em Lisboa e no país, os comunistas, os católicos progressistas, todos","nos juntámos para conseguir","mais e mais recenseamento, inscrição nos cadernos eleitorais, na actividade que levasse ao voto pela liberdade e a"
"parlamento.pt","da Assembleia e os jornalistas. </s><s> Desejo boa reflexão a todas as Sr.as e Srs. Deputados, na esperança de que aqui","nos encontraremos para exigir","mais sacrifício, que é o de incorporarmos as obras na Sala do Plenário. </s><s> Em virtude dessas obras, teremos de nos"
"parlamento.pt",", e desculpem este apelo, que não tem a menor intenção paternalista, muito longe de mim semelhante ideia, no sentido de","nos esforçarmos para abreviar","as discussões e, por conseguinte, avançar na discussão que temos estado a tentar em relação à nova Constituição. </s>"
"parlamento.pt","afinal não tinha assinado digitalmente o documento, basta ver o expediente que o Conselho Superior da Magistratura","nos enviou para verificar","que o documento não está mesmo assinado digitalmente. </s><s> Não há qualquer problema de segurança. </s><s> Quando se disse que"
"parlamento.pt","nas contas públicas da generalidade dos países. </s><s> Realmente, essa é a primeira questão, porque precisamos de","nos entender para perceber","a própria necessidade deste Programa de Estabilidade e Crescimento e aquilo que o determina, que o torna realmente num"
"parlamento.pt","num plano que não é exactamente o do Ocidente e de fazer até alguma crítica ao Ocidente. </s><s> Considero que esta posição","nos interpela para percebermos","que não há Europa sem Rússia. </s><s> Esta é uma questão fundamental na geoestratégia actual e que, julgo, merece reflexão por"
