"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","652"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""news"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"dn.pt","do grupo, como Bershka, Massimo Dutti ou Stradivarius, na Ásia e um pouco por toda a Europa, o ritmo está a acelerar. ""Já","nos pediram para adiantarmos","algumas entregas que tínhamos em stand-by e já pediram repetições"", diz Luís Guimarães. </s><s> Sem descurar o segmento de"
"dn.pt","deve demorar cerca de um ano e meio a ser desenvolvida. </s><s> ""A primeira vacina poderá estar pronta em 18 meses. </s><s> Agora temos de","nos preparar para usar","as armas que temos ao nosso alcance para lutar contra este vírus"", declarou o diretor-geral da OMS em conferência de"
"dn.pt","sua vez, ao ler o conto, viu que o diner que usamos era semelhante a um perto de sua casa. </s><s> Ora, o Federico gostou tanto que","nos disse para irmos","para lá e filmarmos tudo com ele em dois dias com a sua equipa que faz publicidade. </s><s> E arranjou-nos material à borla da"
"dn.pt","ou passar a sul de Angola e atacar... a ideia de provocar a beligerância é que não foi consensual de todo. </s><s> Os aliados nunca","nos pediram para atacar","a Alemanha, pediram-nos para defender Moçambique, para defender Angola e estar pronto a colaborar. </s><s> AT Mesmo a defesa é"
"dn.pt","últimos dois anos, o DiEM25 tem preservado o espírito da Primavera Grega de 2015 por toda a Europa. </s><s> Agora, à medida que","nos preparamos para apresentar","o nosso programa progressista aos europeus em toda a União, através das urnas, chegou a hora de fundar a filial grega do"
"dn.pt","a legislação que se aplica aos casos dos doentes. ""Há muita proliferação legislativa e é mais difícil saber em que","nos baseamos para negociar","um contrato de arrendamento, as horas no trabalho. </s><s> Nota-se que também há desconhecimento por parte de alguns serviços"
"dn.pt","contra a PSP, conforme tinha sido afirmado por alguns dos agentes em tribunal. ""Se isso fosse verdade acham que","nos convidavam para agravar","anúncios como o que fizemos hoje? </s><s> A minha música é sobre a nossa cultura, a vida, os problemas"", asseverou. </s><s> Vítimas """
"dn.pt",", da saga que começou em 1981 com Indiana Jones e os Salteadores da Arca Perdida. </s><s> ""Existem muitos rumores. </s><s> Nós nem sequer","nos sentámos para conversar","sobre o Indy... A certa altura irá acontecer"", salientou. </s><s> A incerteza mantém-se até porque o quatro filme, Indiana"
"dn.pt","mantém a sua residência particular. </s><s> ""Eu acredito em Deus, no povo brasileiro, no nosso potencial, e peço a Deus para","nos iluminar para continuar","traçando o destino que o nosso povo merece"", acrescentou o próximo Presidente do Brasil no Congresso. </s><s> Como fez durante"
"dn.pt","de saúde. </s><s> Mas o coronavírus, sars cov2, e como disse o primeiro-ministro, ""é novo"", ""surpreendeu o mundo"" e ""temos de","nos preparar para combater","a pandemia"". </s><s> Horas depois, em conferência de imprensa para anunciar medidas aprovadas pelo Conselho de Ministros ("
"dn.pt","isto pode ser apenas o princípio, estando tudo em aberto para o caso da situação se agravar dramaticamente... </s><s> Temos de","nos preparar para combater","um vírus do qual ainda muito pouco se sabe e que a única arma que parece estar a ser eficaz, enquanto não chega uma solução"
"pcp.pt","bem definidas e elencadas, e pode lê-las com toda a atenção. </s><s> Mas há aqui uma questão fundamental, que é esta: quando","nos pede para desmascarar","a questão da subsidiodependência,... Parece que a Sr.a Deputada Teresa Caeiro não está a ouvir a resposta, mas, de"
"pcp.pt","Teresa Caeiro não está a ouvir a resposta, mas, de qualquer modo, vou continuar. </s><s> Como dizia, quando a Sr.a Deputada","nos pede para desmascarar","a questão da subsidiodependência, nós respondemos-lhe com a questão do serviço público. </s><s> Esta é a questão fundamental"
"pcp.pt","outros são conhecidos demais por aquilo que fizeram como governantes ou como apoiantes. </s><s> Está na hora de avançarmos. </s><s> De","nos prepararmos para levar","por diante a campanha do PCP assumida pelo camarada Francisco Lopes, essa outra grande tarefa que temos pela frente! </s>"
"pcp.pt","do PCP que permitiu abrir uma nova fase da vida política nacional. </s><s> O País viu e os portugueses sabem que usámos a força que","nos deram para construir","soluções para muitos dos seus problemas mais imediatos. </s><s> Com a luta dos trabalhadores e do povo e a acção decisiva do PCP"
"pcp.pt","e às catástrofes. </s><s> A Face Real da União Europeia </s><s> Gostaríamos de agradecer ao Partido Comunista Português por","nos convidar para participar","e contribuir para o evento de hoje. </s><s> O governo de coligação tripartidário ND-PASOK-Esquerda Democrata, que emergiu"
"pcp.pt","de submeter a actividade económica às prioridades de protecção da saúde da população. </s><s> Todas essas importantes lições","nos servem para resumir","o projecto do PCP. </s><s> O ""modelo"" (entre aspas), ou seja, a proposta do PCP, é o travão mais firme dos fenómenos, das"
"pcp.pt","do anterior Governo que levou à destruição do setor da produção leiteira e do setor da suinicultura. </s><s> Por isso, não","nos peça para seguir","esse caminho, porque nós recusamos segui-lo. </s><s> Sr. Deputado António Ventura, do PSD, se tivesse posto tanta energia na"
"pcp.pt","PCP o convite que endereçaram ao Movimento dos trabalhadores Desempregados para estar presente e a oportunidade que","nos dão para partilhar","convosco algumas ideias. </s><s> Venho trazer-vos a opinião deste sector que é infelizmente cada vez maior. </s><s> Não é justo ao"
"pcp.pt",", Secretário-Geral, Almoço Regional do Alentejo do 95o Aniversário do PCP </s><s> Fotografias </s><s> É sempre com imensa alegria que","nos reunimos para comemorar","o aniversário do nosso Partido Comunista Português. </s><s> Este ano são 95 anos de existência que aqui celebramos! </s><s> Quase um"
"pcp.pt","a troika nacional do PS, PSD e CDS nos tentam impor há 38 anos. </s><s> É por sabermos de experiência vivida o que a troika nacional","nos tem para oferecer",", que utilizando uma expressão tão badalada nos últimos anos afirmamos: ""que se lixe o caminho da troika nacional, que"
"pcp.pt","e, nesta matéria a situação está hoje de ser melhor do que era antes dos Governos PS. Por isso, não é legítimo que","nos peçam para concordar","com a tomada pela Assembleia da República de Contas que correspondem muito pouco à verdade orçamental que aqui votámos"
"pcp.pt","celebração do 25o aniversário do 25 de Abril. 25 de Abril que nos libertou e pôs termo a uma guerra. 25 de Abril que não","nos libertou para fazermos","novas guerras. </s><s> Apesar das nuvens e das tempestades que se abatem no horizonte mantemos bem viva a esperança e a certeza"
"pcp.pt","os seus camaradas, os seus amigos e com a sua família, o Ruben estará presente em todos e em cada um dos muitos momentos que","nos reunirão para continuar","os combates e a luta a que ele dedicou a vida. </s><s> Deixou de estar connosco um homem da cultura, um combatente antifascista,"
"pcp.pt","assegurar um Portugal com futuro. </s><s> Quando falamos de constrangimentos falamos do Euro, das suas regras e critérios que","nos prejudicam para servir","os interesses dos países mais poderosos e nos amarram a decisões e imposições externas. </s><s> Falamos da dívida, do seu nível"
"pcp.pt","curioso, é, aliás, natural que não queiram assumir que existem estes dados, além daqueles com que, sistematicamente,","nos bombardeiam para branquear","a situação em que o País está mergulhado. </s><s> O Sr. Deputado coloca a questão – inclusivamente, também valorizei-a na minha"
"pcp.pt","e reforçar-se... </s><s> Toda esta situação é completamente nova. </s><s> Ao longo dos cerca de 20 dias de protestos, as pessoas que","nos procuraram para aderir","ao Partido excede em muito o total dos nossos militantes. </s><s> Temos agora que decidir o que fazer e como fazer, até porque a"
"pcp.pt","bomba nem a última que venham a cair sobre Iraque. </s><s> Que não continuem os senhores e as senhoras do poder a dizer que","nos manifestamos para salvar","a vida e o regime de Sadam Hussein. </s><s> Mentem com todos os dentes que têm na boca. </s><s> Manifestamo-nos, isso sim, pelo direito e"
"pcp.pt","homenagem e com a edição de uma brochura dedicada à sua vida e à sua actividade, neste momento em que passam 60 anos que","nos deixou para fazer","parte do extenso e tenebroso rol dos crimes do fascismo. </s><s> Militão Ribeiro morreu a 2 de Janeiro de 1950, metódica e"
"pcp.pt","momentânea não representa discordância. </s><s> Nós, se discordamos, dizemos que discordamos e dizemos porquê, não","nos ausentamos para fugir","a responsabilidades. </s><s> O Sr. Deputado já nos conhece há muito tempo e sabe disso! </s><s> Portanto, essa proposta teria,"
"pcp.pt",", estes são pequenos passos do muito que é preciso caminhar para enfrentar os problemas estruturais da Justiça e que só","nos encorajam para continuar","a luta. </s><s> O caminho que está por fazer far-se-á com a luta do povo português, com o PCP, pela garantia do acesso de todos ao"
"rtp.pt","mas não no mesmo carro. </s><s> Acho que acaba por ser perigoso se vier sozinha, ainda me acontece alguma coisa. </s><s> Com as regras que","nos pediram para cumprir",", eu tento cumprir ao máximo"", justificou. </s><s> O regresso da competição ""acaba por ser o menos importante neste momento"","
"rtp.pt","e muitas vezes os que tentavam fugir eram capturados pelo Estado Islâmico. ""Seguimos as instruções do Governo, que","nos disse para ficar","nas nossas casas. </s><s> Segundo as instruções, quem não tinha nada a ver com o Daesh devia ficar. </s><s> Ouvimos essas instruções na"
"rtp.pt","de natureza. </s><s> duração total 44m </s><s> Hoje olhamos para a natureza e para a forma como podemos tirar partido daquilo que ela","nos dá para embelezar","os nossos espaços, seja onde vivemos ou onde andamos. </s><s> E se falamos de harmonia com a natureza, falamos de arquitetura"
