"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","215"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""pra""][tag=""V.N.*""] within <doc (genre=""blog"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"jus.com.br","mais receita da... </s><s> O problema do nosso país não é, de forma alguma, a Constituição de 1988. </s><s> Ao contrário, ela é o que ainda","nos resta pra pensar","um projeto de país que seja minimamente solidário e democrático.1. </s><s> As idéias de nova Assembléia... </s><s> Esta investigação"
"jus.com.br","um hr de descanso por dia.. </s><s> Porém trabalho de segunda a sexta 08:00 ás 17:00 com uma hr de almoço, e há mais ou menos um ano","nos colocaram pra trabalhar","aos sabados das 08:00 ás 14:00, e no sabdo que vc trabalha tem uma folga na semana... Gostaria de saber se isso é legal? </s><s> E se"
"mdig.com.br","de 2013 às 16:12:11"" Se acontecesse aqui, no mínimo seria o lugar com mulher mais arrumada da face da terra. </s><s> Afinal, se","nos arrumamos pra ver","nossos namorados e maridos, quando sabemos que vamos encontrar um ex, principalmente se esse ex nos trocou por outra e,"
"mdig.com.br","sim valorizar uma mulher. </s><s> A ciencia ja provou que as mulheres amadurecem mais cedo que os homens, com certeza a natureza","nos prepara pra tolerar","certos ""homens"" que ainda não deixaram de ser ""moleques"". </s><s> bibita em 16 de abril de 2007 às 03:05:26"" só quero deixar um"
"mdig.com.br","às 12:40:49"" 26 de Julho de 2061 =OOOO tenho mais 54 anos de vida x_x"" mt doido mas...acho q nao prova q vou morrer ateh la","vo lutar pra viver","ateh eu me sentir realmente cansado pois kero me tornar uma pessoa q ajudará o mundo contra sua propia destruição se"
"mdig.com.br",". </s><s> Por gostar muito de aves (e também querer aprisioná-las quando eu era mais jovem), fico pensando, por que temos que","nos conscientizar pra refrear","este comportamento, por mais que saibamos que uma gaiola não é o ideal de bem-estar para uma ave? </s><s> Cheguei à conclusão que"
"mdig.com.br","correto ficou linda as casas. </s><s> Erlane em 18 de junho de 2014 às 08:54:35"" nossa interessante quero fazer uma pra mim assim","vo encomendar pra fazer","achei lindooo Ameiii parabens </s><s> Angela em 23 de maio de 2014 às 09:20:26"" Achei o máximo&gt; Mas quero saber se pode ser"
"mdig.com.br",". </s><s> Mas não é só a falta de vigor físico que faz sedentários com mais de 40 anos, como eu, soltarmos uma cara feia quando","nos chamam pra levantar","e dar uma dançadinha em festinhas de aniversário ou casamento. </s><s> A babaquice que impera nas pistas se torna um crescente"
"mdig.com.br","encher o saco, não roncar, não rolar durante o sono e conseguir satisfazer um homem de 2,01m e 97kg na cama, eu caso e ainda","te pago pra viver","cmg pra sempre uoiasuioasoiusauiosauiosiouasuioa'' </s><s> Marya em 12 de julho de 2010 às 14:11:53"" valeu angelik... Tyr,"
"mdig.com.br","15 dias até mostrar o RG, tinha 24 anos. </s><s> Eu tinha 15. </s><s> Quando disse ao meu velho ele soltou sem dó nem piedade; _ Se tivesse","te criado pra namorar","velhas eu te mandava pra um asilo logo de uma vez. </s><s> O Vardão era fogo! </s><s> fidalgo em 09 de junho de 2014 às 21:07:44"" Não diz qual"
"mdig.com.br","pra conseguir um lugar pra sentar e se alongando pra passar por baixo da catraca. </s><s> É Anti-Estressante - Nenhum vendedor","te liga pra empurrar","alguma bugiganga porque, além da sua conta estar negativa, você não tem telefone! </s><s> É Aliviante - Com a sua fama de"
"mdig.com.br","por ficarmos todos, espectadores estarrecidos diante de seu espetáculo, com vontade do ""quero mais"" ou mesmo do ""vou","te levar pra cantar","lá em casa""...e depois de apenas um show, viramos fãs incondicionais. </s><s> Essa magia é capaz de ultrapassar qualquer"
"mdig.com.br","sabe o que ele faz. </s><s> Provavelmente pinta, ou fala poesias. </s><s> Cozinha pra mulher. </s><s> Não dá o telefone e liga às três da manhã","te chamando pra dar","um mergulho numa cachoeira. </s><s> Assume que brocha. </s><s> Indeciso Encontrado em festinhas alternativas, academias de"
"mdig.com.br","mais feliz e amanda, do que se estivesse com algum garotão. </s><s> Descobri que o amor realmente não tem idade, raça. </s><s> Estamos","nos amando pra valer","e isso que é o bom da vida. </s><s> Ozéx em 17 de julho de 2008 às 22:17:00"" ... E começo pelo Amor entre pessoas de grupos etários"
"mdig.com.br","de 2009 às 12:34:22 </s><s> Elton em 10 de março de 2009 às 21:49:57"" concerteza loira, da próxima vez q eu for dar uma volta eu","te pego pra dar","uma carona, vc vai ver como é o meu planeta mercurio... só uma dica, leve um bom protetor solar pois vc vai precisar..."
"mdig.com.br","de pistas nao é comigo, continuo com o Chrome!! </s><s> malkhut em 22 de junho de 2009 às 11:17:00"" Quem é a mais put@? </s><s> Aquela que","te cobra pra trepar","ou aquela que dá para qualquer um que passar a mão na bund@? </s><s> Comparem Google e Microsoft e depois me digam. </s><s> Claudio em 22 de"
"mdig.com.br","tds aki vai morre um dia...mais kero morre com uns 120 anos.... kero para d joga bola com uns 110 anos...os outros 10 anos","vo aproveitar pra sair","com os amigo e beber e cumer muita biscate...kkkkkkkkkkkkk </s><s> Ananda bueno em 08 de janeiro de 2007 às 03:31:32"" vou morrer"
"mdig.com.br",": 1975% 2 cortes: 1893% </s><s> YZRic em 25 de novembro de 2011 às 01:06:15"" ""só pode haver 1"".. após esta tua frase Nitro, só posso","te dizer pra ir","treinando, pois, o empate já aconteceu. 1974%. </s><s> Aumente suas horas em frente ao PC para ter alguma chance. </s><s> Quanto ao 2"
"mdig.com.br",", eu quero a Maria da foto dali porque se vc é mais bonita eu sei meu lugar. </s><s> No picadeiro. </s><s> Poide ficar com o Morpheus, ele","te leva pra dar","umas voltinhas na Matrix </s><s> Sentinela em 19 de novembro de 2012 às 21:43:35"" E tudo bem, Maria, você ter explicado outra"
