"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","14"
"query","Query:[tag=""V.*""][lemma=""para""][lemma=""nós|tu|vós|vocês|eles|elas""] [tag=""V.N.*""] within <doc (genre=""legal"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"almg.gov.br","em casa, não saiam, não façam dessa situação crítica um risco maior. </s><s> Temos que esperar essa faixa de contágio máximo","passar para nós podermos","voltar às nossas atividades. </s><s> Vamos respeitar a insuficiência de leitos e de profissionais que há no nosso estado, na"
"almg.gov.br",". </s><s> Vemos algumas pessoas dizendo: ""Ah, queremos isso"". </s><s> Repito: o que fizemos até hoje foi corrigir os acertos. </s><s> A conta","ficou para nós pagarmos",". </s><s> Amanhã será o dia de fazer uma grande festa nesta Casa, votar os projetos dos agentes e dos professores e seguir em"
"almg.gov.br","a população possa ser mais bem atendida. ""Muitas cidades sequer têm área rural definida em seus planos diretores. </s><s> Fica","complicado para nós atender","às necessidades da população do campo sem saber esses dados"". </s><s> Ela explicou ainda que o relatório final do I Seminário de"
"sp.gov.br","eu queria estar lá."" Velhinho. </s><s> Cuida da sua saúde, velhinho. </s><s> Cuida da sua saúde, que você é importante para nós. </s><s> Você nos","espelhou para nós estarmos","aqui. </s><s> Então, continua lutando pela sua vida e pela sua saúde, que nós vamos estar aqui lutando pelo que nós amamos:"
"camara.leg.br","de 6 a 7 dias por semana. ""Esse setor precisa ser entendido como relação de trabalho devidamente construída. </s><s> Não","dá para nós apostarmos","na precarização cada vez maior dessas relações de trabalho"", disse. </s><s> Porém, para a deputada Bia Kicis (PSL-DF), a"
"camara.leg.br",". </s><s> O relatório do Deputado Marcos Rogério é sempre alentado, é sempre rico, é sempre de muito bom conteúdo. </s><s> Mas aí eu","pediria para nós discutirmos","mais. </s><s> Com franqueza, não tenho uma posição definitiva sobre a matéria. </s><s> Como eu disse, há elementos que considero"
"camara.leg.br","a palavra de quem está encaminhando. </s><s> O SR. DEPUTADO RONALDO FONSECA - É até 20. </s><s> Eu entendo que o requerimento deve ser","recusado para nós discutirmos","a matéria. </s><s> Mas, como não está pacificado no PROS, eu quero liberar... O SR. PRESIDENTE (Deputado Arthur Lira) - V.Exa."
"camara.leg.br","protege e blinda qualquer ingerência nesses investimentos, inclusive nos investimentos de ordem social. </s><s> O que não","dá para nós admitirmos","aqui, nesse aspecto, são as acusações. </s><s> Aqui só faltou dizerem que a queda da Bolsa de Valores de 1929 é culpa deste"
"camara.leg.br","que seja truculento dessa maneira. </s><s> Mas, já que o Laercio e o André concordaram em poder retirar, Presidente, acho que","dá para nós darmos","continuidade ao nosso trabalho. </s><s> E aí entra num acordo com o Governo. </s><s> O SR. PRESIDENTE (Deputado Benjamin Maranhão) - Há"
"camara.leg.br","casos é preciso que o empresário tenha a compreensão... Vejam a situação do Brasil e da Argentina. </s><s> Eu sempre dizia: Não","dá para nós continuarmos","exportando para a Argentina sem buscar selecionar o que a Argentina pode nos oferecer. </s><s> Comércio é uma via bilateral. </s><s> Se"
"camara.leg.br","ao nosso e que não têm mais margem de manobra no momento para ativar a economia interna. </s><s> Então, o primeiro tema","é para nós ampliarmos","a capacidade de gerar inteligência para esse tema e ampliar recursos nessa área. </s><s> O segundo é, fazendo coro com o"
"camara.leg.br","à área de jurisdição de incentivos da SUDENE. </s><s> Agora, com todo respeito ao Espírito Santo e ao Rio de Janeiro, não","dá para nós colocarmos","todos dentro da SUDENE. </s><s> Fica um negócio meio desfocado, fica um negócio meio esquisito, Deputado Júlio Cesar. </s><s> Se V.Exa"
"camara.leg.br","ações em parceria com vocês. </s><s> Isso mostra a intenção da gestão de sempre ser positiva. </s><s> Quanto mais ações houver, melhor","será para nós qualificarmos","o SUS para o diabetes e para outras doenças crônicas. </s><s> Esse é o recado do CONASEMS que envio para vocês. </s><s> Vamos continuar,"
"camara.leg.br","isso na sua agenda, para que, junto com as secretarias estaduais, seja oferecido o treinamento aos Municípios. </s><s> Não","dá para nós termos","só um profissional qualificado para fazer o treinamento. </s><s> Quando esse profissional adoece, nós não temos quem possa"
