"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","29"
"query","Query:[tag=""V.*""][lemma=""pra""][lemma=""nós|tu|vós|vocês|eles|elas""][tag=""V.N.*""] within <doc (genre=""blog"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"jus.com.br","(em comunhão parcial de bens) e moramos aqui a mais de 20 anos porem sem RGI. </s><s> Meu pai quer continuar morando na casa e","pediu pra nós irmos","embora com minha mãe. </s><s> Minha mãe tem um carro financiado que esta em nome de outra pessoa... Meu pai pegou o carro pra ele"
"mdig.com.br","às 15:09:53"" não vo conseguir dormir de noite </s><s> FoxRaider em 12 de agosto de 2011 às 12:14:11"" aqui lucy, nesse video vai","dar pra tu ver","claramente a diferença entre uma laranja e uma abobora... youtube.com/watch?v=SUcdibRlJ8M&feature=fvwrel </s><s> Lucy"
"mdig.com.br",",ela faz coisas absurdas. </s><s> Mais o trabalho de vcs é mto bonito e tmb mto perigoso. </s><s> As fotos são llindas obrigado por","fazer pra nós vermos","ja que não podemos estar com vcs </s><s> Nátaly em 14 de abril de 2008 às 11:07:58"" isso é orroroso mais eu não fiquei com medo"
"mdig.com.br",". </s><s> Confortably Numb em 01 de outubro de 2012 às 15:24:38"" Andar de metrô??? </s><s> Só se for na Suécia... faz esse estudo aqui em","sampa pra tu ver","... Em relação as tarefas caseiras eu até que concordo... desde que passei a morar sozinho, eu me divirto pra caramba"
"mdig.com.br","o que nem imaginamos. </s><s> fernando em 06 de setembro de 2005 às 15:42:55"" Pessoal amei o clip e me emocionei bastante isso","serve pra nós pensarmos","melhor na nossa existência!!!!!! </s><s> mara em 06 de setembro de 2005 às 15:19:37"" eu amei o clip tb comfesso q eu chorei......"
"nextpit.com.br","passar vergonha haaaaa eu estava esquecendo QUE PELO PREÇO ABSURRRRRRDOOOOO PODERIA SER BEM DIFERENTE </s><s> Se o que mais","conta pra tu brother","em um Smartphone é a câmera, e não quer gastar muito, compre um LG G4 e seja feliz pra tirar até mesmo fotos noturnas e não"
"nextpit.com.br","Paga o crédito no pré-pago valor que poderia ser conta ? 4) Troca toda hora de linha ? </s><s> Se tu raciocinar pelo menos um pouco,","dá pra tu responder","essas perguntas sozinho. </s><s> Não é coisa de outro mundo não, nem precisa ter Q.I. elevado. </s><s> Eu também penso no fim do pré pago. </s>"
"escrita.com.br","que isto é amor? </s><s> É Amor? </s><s> Como é amor? até onde eu sei amor não machuca, amor não acaba, amor não destrói. _ Desculpa mas não","dar pra nós ficar","junto. _ Porque? _ Porque não dar mais. _ Só isso? </s><s> Simples assim? </s><s> Não dar mais? </s><s> E eu faço o que com isso aqui dentro, jogo no"
"viomundo.com.br","bem entendem e nada acontecerá, pois uma grande massa crítica de maus elementos já estão instalados nos 3 p(h)oderes, e","sobra pra nós pagar","a conta, seja no âmbito municipal, estadual ou federal. </s><s> a maioria dos políticos e funcionários públicos só agem"
"overmundo.com.br",", tudo é fraco. </s><s> A gente ainda daqui a aculá ganha um biscate, compra uma roupa, um par de alpercata, uma coisa, mas não","dá pra nós sobreviver","da banda não. </s><s> Hoje melhorou porque a gente tem uma ajuda do nosso governo né, a gente tem parceria da prefeitura, aí nos"
"overmundo.com.br",", risque, acredite. </s><s> Então, eu acho que o mínimo que esse indiozinho vai sacar é que ele é do caralho. </s><s> ISHAK - Como é que","foi pra tu começares","a desenhar? </s><s> PP - O desenho sempre esteve na minha vida. </s><s> Assim... o Presidente do Banpará e um dos Ministros da Justiça do"
"overmundo.com.br","vai lançar isso no show dos Racionais. </s><s> Zezé já tinha saído do MH2O, com uma idéia de montar o movimento. </s><s> Ele perguntou: ""","Dá pra tu colar","nas rodas de break e tal?"" Dá. </s><s> No dia na hora e no local eu tava lá com o som, tudo ligado, fazendo a roda, e comecei a levar"
"blogdomagno.com.br","OU FALO DE QUEM QUISER, NÃO SOU TU, VERME NOJENTO, QUE VIVE DE UM BENEFÍCIO DE BOLSA ESMOLA QUE A RAINHA DA MENTIRA MANDA","PAGAR PRA TU FICAR","PROCURANDO UM JEITO DE DEFENDER A RAÇA PODRE!!! </s><s> EU LÁ TÔ LIGANDO PRA QUEM FOI EXONERADO, EU NÃO VOU SER PQ NÃO TENHO CARGO"
"blogdomagno.com.br","SEXUAL MUITO SÉRIO, ALGUM DESGOSTO FORA DO NORMAL, UMA FRUSTRAÇÃO QUE PARECE NÃ TER CURA!!! </s><s> JÁ VI QUE PERDI MEU TEMPO","PEDINDO PRA TU SER","HOMEM (KKKKK)!!! </s><s> comentado em 2015-03-28 12:29:29 </s><s> Nehemias Fernandes Jaques </s><s> comentado em 2015-03-28 12:06:39 </s><s> É a"
"papodehomem.com.br","prática? </s><s> Seguem engajados? </s><s> Perderam a empolgação? </s><s> Quais impactos práticos e dificuldades vêm sentindo? </s><s> Esse post","é pra nós identificarmos","essas questões e podermos nos alinhar pra tirar o melhor proveito do que temos aqui: um grupo com energia pra gerar"
