"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","37"
"query","Query:[tag=""V.*""][lemma=""pra""][lemma=""nós|tu|vós|vocês|eles|elas""][tag=""V.N.*""] within <doc (genre=""news"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"pt.org.br","na Reserva que leva o nome da antiga liderança. </s><s> ""Se não fosse a briga de Chico Mendes, quem pisava aqui era o boi. </s><s> Não","era pra nós estar","aqui sentado numa raiz duma árvore dessa aqui, numa sombra olhando prum leite de seringa"". </s><s> Antônio vive com sua esposa e"
"mises.org.br","motel, pagando o motel, pagando cervejinha e talvez pra dar um agrado levando pra jantar. </s><s> Ter alguém em que tu ligas vai","correndo pra tu transar","com ela? </s><s> Ter o poder de fazer isso com a maioria das pessoas que encontra? </s><s> Visualizou? </s><s> Este é o poder sexual feminino. </s>"
"mises.org.br","ameaçando abrir o setor à livre concorrência"" </s><s> Seria bom se fosse tão fácil convencer as pessoas dessa obviedade quanto","é pra nós constatá-la",". </s><s> Tão logo fossem convencidas, clamariam por mais ""punição"" aos cartéis através de mais liberdade de mercado. </s><s> É uma"
"pedal.com.br",", montar uma bike a partir do quadro vai até mais caro, fora que nào tem opção de tamanho. </s><s> Se fosse mtb mais velhinha ia","dizer pra tu colocar","700 nela e sairía mais barato. </s><s> A híbrida que o poneis falou deve ser esta:"
"dgabc.com.br","de Queiroz, para mandar, segundo o MP, uma mensagem para o miliciano, que estava foragido. ""Amanhã o Gustavo vai aí te","procurar pra tu conversar","com ele pessoalmente aí, tá? </s><s> Aí ele vai te explicar. </s><s> Aí tu faz os contatos pra ele pra mim. </s><s> Na frente dele aí. </s><s> É coisas que"
"dgabc.com.br","pela senhora sempre vc foi a mulher mais guerreira que conheci nunca deixei de te amar sou hoje muito grato por tudo que vc","passou pra nós criar","te amo eternamente fique bem pois vou sempre estar olhando pela senhora te amo muito filhas papai te ama muito mais muito"
"folha1.com.br","PRP 44, E PORTANTO, LIVRE DESSE ÔNUS POLÍTICO AGORA ALINHADO COM ESSE DESGOVERNO ROSÁCEO. </s><s> AGORA, VENDO ESSE VÍDEO,","DÁ PRA NÓS ENTENDERMOS","PORQUE ELA E ELE QUEBRARAM CAMPOS. </s><s> SALÁRIOS DE GOVERNADORES, SECRETÁRIO, PREFEITOS, FAMÍLIA TODA PENDURADA... NADA"
"etnews.com.br","nos deu o lugar onde é hoje a Igreja de Nossa Senhora D ́Abadia, que também pegaram de volta. </s><s> Aí, o prefeito José Sebastião","arrumou pra nós comprarmos","o terreno onde é o campo atual"", recorda, afirmando que daquele patrimônio foi doado. </s><s> ""- Nada ali foi doado. </s><s> O que nos foi"
"meutimao.com.br","bem em time pequeno, aqui é Corinthians, tudo aqui é mais, bem mais que nos outros clubes. </s><s> Prefiro o Corinthians, se não","dá pra nós ser","campeão então torço para o meu time ir pra Libertadores, se não der, eu torço pra ir pra Sulamericana, e se a situação"
"meutimao.com.br","suas luxuosas casas, só engordando, e o povão besta se lascando em porta de hospital, pelo amor de DEUS, o momento agora","é pra nós pensarmos","em nós, e não em #[email protected]% de jogador safado e clube safado também, </s><s> MAS, será que existe o interesse de TODAS as"
