"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","12"
"query","Query:[tag=""V.*""][lemma=""para""][lemma=""nós|tu|vós|vocês|eles|elas""] [tag=""V.N.*""] within <doc (genre=""blog"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"apagina.pt","para Velhos"". </s><s> Agora que têm uma ideia da personalidade do camarada Glus, podem compreender porque o tememos e o que","significou para nós ter","visto os seus métodos atacados esta manhã. </s><s> Juntámo-nos à volta do ""Luz"", para verificar com os nossos próprios olhos. </s>"
"tv7dias.pt",", do mesmo canal. </s><s> ""Eu continuo a sofrer com as redes sociais. </s><s> Criticar é uma coisa, agora escreverem-me: ''Eu hoje vou","rezar para tu morreres","'' ou dizerem todos os dias à minha sogra que eu sou prostituta, não admito!"", rematou, revoltada, a alentejana, não"
"tv7dias.pt",", Guarda, Elvas, Newark para ver como é que os telespectadores reagiam. </s><s> ""Ninguém está à espera de uma entrada daquelas. </s><s>","Dá para nós rirmos","um bocadinho"", ""o nosso presidente ser o primeiro convidado da Cristina é muito bom. </s><s> É de louvar"", ""é uma mulher que sabe"
"apagina.pt","como quando o João me quer dar os seus rebuçados a 50 escudos e na loja os vendem a 30? </s><s> Diz o pai que é pura economia e que não","é para nós entendermos",". </s><s> É para ser debatido entre os bons e os maus. </s><s> Apenas que eu já não sei quem é bom e quem é mau. </s><s> Se os arranha-céus do Golfo"
"tv7dias.pt","ter a sensação de dever cumprido. </s><s> ""Há a sensação de dever cumprido. </s><s> E que esta conquista não se esgote em si mesma e que","sirva para nós construirmos","em cima disto qualquer coisa. </s><s> Ter capacidade de testar formatos inovadores como A Máscara ou Amigos Improváveis. </s><s> A"
"tv7dias.pt",", em pleno aniversário, deixando-a completamente surpreendida. </s><s> O ator ofereceu-lhe alianças de compromisso. ""","É para nós usarmos",""", revela a jovem, abraçando, de seguida, o namorado. </s><s> Agência de publicidade e propaganda, marketing e marketing"
"apagina.pt",", augurium, que significa augúrio ou sorte, pois a mesma não dependeria do homem, mas sim de algo exterior a ele. </s><s> O que","é para nós sermos","felizes; o que precisamos para sermos felizes; hoje em dia a felicidade é algo que dificilmente se atinge, as nossas"
"tv7dias.pt","com a boca de Serginho que lhe disse: ""Mas tu estás muito estragada"". </s><s> ""Entrei cá primeiro do que tu, Serginho. </s><s> Eu é que","pedi para tu entrares",". </s><s> Graças a mim é que tu estás na TVI"", afirmou em direto. </s><s> Marta Cardoso tomou o controlo da emissão e passou para o fim da"
"anossavida.pt","outro é como se o tempo parasse e fosse só nosso... Tenta aproveitar ao máximo o tempo que tens com ele e lembra te que a casa","é para nós desfrutarmos","dela e não para sermos escravas dela... eu antes prefiro estar a namorar com o meu marido do que agarrada á vassoura ao"
"tugatech.com.pt","<s> Por acaso está porreiro nunca pensei ate estar assim completo com forum e com tudo </s><s> Está igual ao de cima ou é outro? </s><s> Depois","manda para nós vermos",". </s><s> Ainda está igual. </s><s> Agora o 1 passo é transformar aquilo em PT Depois Mudar cidades de Armas para algo diferente. </s><s> E por fim"
"revistamilitar.pt","e no meu próprio nome, dar as boas-vindas a todos os participantes nesta conferência e dizer da grande honra que","é para nós acolher",", na Fundação, esta iniciativa dedicada às Forças Armadas e ao papel passado, presente e futuro. </s><s> Gostava também de"
"iscte-iul.pt",". </s><s> Por mim fica assim. </s><s> Até te ouvir não gostava, é diferente uma voz. </s><s> Eu nunca diria assim. </s><s> Tu é que tens de dizer, isto","é para tu dizeres",", dizemos como quiseres dizer, como tu dizes. </s><s> Lembrem-se da bicicleta, estamos aqui a discutir como se anda de"
