"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","16"
"query","Query:[tag=""V.*""][lemma=""para""][lemma=""nós|tu|vós|vocês|eles|elas""][tag=""V.N.*""] within <doc (genre=""reference/encyclopedia"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"scielo.br","<s> Abaixo, apresentamos alguns fragmentos do diário: </s><s> Eu adorei a aula de sexta-feira por que na aula de terça a professora","pediu para nós criarmos","uma brincadeira, misturando duas das quatro brincadeiras que nós fizemos. </s><s> As brincadeiras eram: Malha, Boliche,"
"scielo.br","a viver, com os irmãos, na Venezuela, tendo retornado para Santa Isabel porque ""minha vó ficou muito triste e falou que","era para nós virmos","embora para cá. </s><s> Então nós arrumemos um sítio aqui"".23 Depois disso, seu Pedro partiu novamente: ""Deixei os meus tios de"
"scielo.br",", mas se ela quiser, ela pode fazer isso. </s><s> E isso acontece, às vezes (P 3, 2011). </s><s> [...] é passado para ele lá de cima e depois é","passado para nós pormos","em prática dentro da sala de aula. </s><s> Porque não é só propormos. </s><s> Tem coisa que vem lá de cima. </s><s> Como agora, o ''Ler e Escrever''. </s><s> É"
"scielo.br","e/ou amigos. </s><s> Nesse contexto, ainda há a preocupação por parte dos profissionais com a privacidade do paciente. </s><s> Não","dá para tu chegar","ao quarto e ir tirando o lençol, para dar um banho sem tu falar para eles o que tu vai fazer, que a maioria dos idosos, eles"
"scielo.br","cadeira para ti. </s><s> Para eu pegar o dinheiro, fazia os papéis que eu estava te vendendo isso aqui, aí eles aprovavam. </s><s> Que","era para tu pegares","o dinheiro e entregar para mim. </s><s> Aí no caso, como tu não comprou nada, eu pegava o dinheiro e te devolvia. </s><s> Ia deste jeito, um"
"scielo.br","a doença, trabalhar antes que a doença aconteça. </s><s> Temos as doenças crônicas que estão em alta, matando todos os dias","provando para nós pôr","a mais b, que não funciona, porque a nossa população não adere a método de trabalho do SUS. </s><s> A nossa população tem uma"
"scielo.br","considerações também são relatadas por González e Almeida (2010). </s><s> Há certeza de objetivos pelos participantes. </s><s> ""Não","dá para nós querermos","que hoje esteja desse jeito e amanhã de outro. </s><s> O currículo mudou então amanhã já vai ser diferente. </s><s> Não! </s><s> A coisa é"
"scielo.br","dele sabe (E3). </s><s> [...] dia de chuva mesmo dão uma capa, nos dão uma capa que usa dois dias e rasga tudo e não dão os EPI que","era para nós ter",". [...] em trabalhar nós somos o melhor para a firma e sempre levamos a toca, o peão leva a toca (E14). </s><s> [...] se machuca e aí"
"scielo.br",", aquela vozinha começou a passar mal, a gente nem tinha percebido e vocês já começaram atender. </s><s> Aquela enfermeira","pediu para nós sairmos",", disse o porquê, e nós entendemos. </s><s> Vocês sabem como falar, estão sempre próximos, não fogem e são educados, e"
"scielo.br","enfermagem obstétrica lhe autoriza a fazer. </s><s> Toque a gente não faz. </s><s> Quando tem excesso de movimento alguns contratados","pedem para nós tocarmos","e, se estiver completa, passar para a sala. </s><s> Mas a maioria deles não aceita. </s><s> Tu avisas que está nascendo, que está"
"scielo.br","conhecer, aprender a fazer, aprender a ser e aprender a conviver com os outros. </s><s> Enveredar por essas frentes de análises","significou para nós avaliar","o alicerce principal da teoria da aprendizagem biográfica (Biograficidade) adotada, qual seja: a experiência de"
"scielo.br","novamente para a enfermeira: ""Olha, [a contração] já está forte. </s><s> Eu estou achando que já está em uma sequência que já","dá para tu vir","para me acompanhar"", disse ao telefone. ""Eu achava que ia poder ir para o hospital de manhã"", comentou durante a"
"scielo.br","e gera as formas de enfrentamento: Foi uma prova de Deus, só pode e S. só veio para me transformar. </s><s> Foi muito bom [...] S.","veio para nós refletir","mais. </s><s> Se Deus me deu S. é porque ele tinha algo para nós e por isso eu digo que vou cuidar dela com mais carinho (E1); Pedindo"
"vitruvius.com.br","não teria feito essas experiências todas que fiz, e acho que existe uma série de outras brechas que o sistema sempre","deixa para nós atuarmos",". </s><s> Mas, me parece que cada vez o controlo está sendo maior, e as oportunidades estão a afunilar-se. </s><s> nota </s><s> 3 Segundo André"
"jornaldepoesia.jor.br","faço, meu amor, desse amor que sinto e não tenho mais como te dar devo refazer o futuro? como, se ainda não o vivi? o futuro","era para nós aprendermos","a sonhar juntos, para tecermos a alegria e a bondade para erguermos uma parede e outra e mais outra até construirmos"
"uol.com.br","de ensino. </s><s> Demonstram assim, que inicialmente, não tiveram grande interesse em fazer o curso, porém, não","convém para nós analisarmos","nesse momento os motivos pessoais destes professores. </s><s> Mas queremos aqui evidenciar as políticas públicas de"
